epochs,train_loss,valid_loss,COCOMetric
0,0.33853358030319214,0.36013245582580566,0.2913387824645527
1,0.28682005405426025,0.32882753014564514,0.3737942124614693
2,0.31229710578918457,0.3171622157096863,0.4011560354447514
3,0.31460994482040405,0.3045111894607544,0.41852201105262143
4,0.26588869094848633,0.2869846522808075,0.43425854213273113
5,0.2668441832065582,0.2927771508693695,0.388734951050419
6,0.2546504735946655,0.2857643663883209,0.4310510325467356
7,0.23938626050949097,0.2854940593242645,0.39821752094213725
8,0.21677282452583313,0.26880666613578796,0.45222802076884616
9,0.22917811572551727,0.25429007411003113,0.4723406230974557
10,0.2688528299331665,0.2633398771286011,0.4759303429306977
11,0.22947727143764496,0.2588854730129242,0.5025816210397246
12,0.22219020128250122,0.26004111766815186,0.490472382986592
13,0.21982623636722565,0.25921007990837097,0.4754882621497016
14,0.20953314006328583,0.2308138906955719,0.5371889882709979
15,0.2084840089082718,0.24088451266288757,0.5812886289569905
16,0.21938470005989075,0.24392296373844147,0.5638360412673965
17,0.2249930202960968,0.24003875255584717,0.585571076076825
18,0.21678408980369568,0.22533319890499115,0.5814807282881468
19,0.20147226750850677,0.26481902599334717,0.534761229468938
20,0.18152529001235962,0.2563667297363281,0.5523386210774568
21,0.18522225320339203,0.21583686769008636,0.5868640099609769
22,0.17962363362312317,0.23388010263442993,0.5760859854546807
23,0.15782848000526428,0.22514989972114563,0.617446609003459
24,0.19233199954032898,0.23971979320049286,0.581223359548725
25,0.20068536698818207,0.23773613572120667,0.5885749142422569
26,0.1941065490245819,0.20811568200588226,0.6333826132110834
27,0.19451583921909332,0.22334836423397064,0.6056169872991845
28,0.1922881305217743,0.21558110415935516,0.6365895364824733
29,0.173831969499588,0.2249850481748581,0.6312653511958346
30,0.19852861762046814,0.2565625011920929,0.5332548768809451
31,0.1801069676876068,0.19194850325584412,0.6371564451852295
32,0.1617281436920166,0.23319514095783234,0.5584943094744977
33,0.15777240693569183,0.19871963560581207,0.637838529089528
34,0.16001975536346436,0.19984909892082214,0.6782560026507483
35,0.16384191811084747,0.20409636199474335,0.6557171021592094
36,0.18484392762184143,0.22445394098758698,0.6145350453371144
37,0.1677418202161789,0.21839970350265503,0.6576441447197613
38,0.1691070944070816,0.19705994427204132,0.6531307070619646
39,0.14457204937934875,0.19419358670711517,0.6768313716992216
40,0.15837986767292023,0.2025735229253769,0.6673942514515039
41,0.15652412176132202,0.2055949866771698,0.6559111296864467
42,0.15034541487693787,0.17816822230815887,0.6893238594410741
43,0.14233547449111938,0.18837013840675354,0.6617333391766886
44,0.1308196634054184,0.18464617431163788,0.7044127624955646
45,0.14448371529579163,0.1810912787914276,0.6970482877362381
46,0.14791354537010193,0.1896776556968689,0.6760904943410442
47,0.12445934861898422,0.18489472568035126,0.6932165614706934
48,0.14136742055416107,0.19085612893104553,0.6685355771910009
49,0.14880268275737762,0.1774907261133194,0.722195962659034
50,0.14882002770900726,0.20491550862789154,0.6618488135423087
51,0.13254202902317047,0.19730044901371002,0.6615405333035395
52,0.13798628747463226,0.18254698812961578,0.7092394498005306
53,0.14811956882476807,0.2075614035129547,0.6427034245341869
54,0.1496710181236267,0.20488393306732178,0.6514766780349657
55,0.1262827068567276,0.19799348711967468,0.6692470312324537
56,0.13182112574577332,0.1831122487783432,0.7130806878567478
57,0.12499816715717316,0.19867414236068726,0.6926294701048298
58,0.13645003736019135,0.19091077148914337,0.7003098079326123
59,0.12700815498828888,0.20857106149196625,0.677043415994086
60,0.1235583946108818,0.18968559801578522,0.6949433895085396
61,0.10171299427747726,0.18169757723808289,0.7054760457084522
62,0.10496894270181656,0.19256888329982758,0.6706583317128811
63,0.13387855887413025,0.19318805634975433,0.6814505445623991
64,0.12176861613988876,0.18053896725177765,0.7197147694810729
65,0.11879023909568787,0.18907594680786133,0.7015886790213473
66,0.11049649864435196,0.19005216658115387,0.705397849791228
67,0.12417899817228317,0.19002023339271545,0.7139311029266676
68,0.11232669651508331,0.1865914762020111,0.7226643506880239
69,0.11974496394395828,0.19206494092941284,0.6995853109083457
70,0.12667858600616455,0.20182299613952637,0.6907485327637797
71,0.11207696795463562,0.1927948296070099,0.7071629117932678
72,0.12551932036876678,0.1813419610261917,0.7089748410404796
73,0.1037197932600975,0.180971160531044,0.7205689799011502
